sheet,days,hole,par,white_yds,pin_lat,pin_lon,green_center_lat,green_center_lon,green_front_lat,green_front_lon,green_back_lat,green_back_lon,paces_from_front,side,paces_from_side,label,green_depth_yd,green_width_yd
A,Sun / Mon,1,4,267,35.5269366,-92.0374439,35.52695,-92.03735,35.5268675,-92.0374626,35.5270325,-92.0372374,7,L,5,7 L5,30,20
A,Sun / Mon,10,4,267,35.5269366,-92.0374439,35.52695,-92.03735,35.5268675,-92.0374626,35.5270325,-92.0372374,7,L,5,7 L5,30,20
A,Sun / Mon,2,3,116,35.5262578,-92.037817,35.52622,-92.03775,35.52623,-92.0378909,35.52621,-92.0376091,7,L,5,7 L5,28,18
A,Sun / Mon,11,3,116,35.5262578,-92.037817,35.52622,-92.03775,35.52623,-92.0378909,35.52621,-92.0376091,7,L,5,7 L5,28,18
A,Sun / Mon,3,4,361,35.5275133,-92.0363496,35.52755,-92.03625,35.5274314,-92.036341,35.5276686,-92.036159,8,L,6,8 L6,34,22
A,Sun / Mon,12,4,361,35.5275133,-92.0363496,35.52755,-92.03625,35.5274314,-92.036341,35.5276686,-92.036159,8,L,6,8 L6,34,22
A,Sun / Mon,4,3,174,35.5272111,-92.0356087,35.52715,-92.03555,35.5271922,-92.0356924,35.5271078,-92.0354076,7,L,5,7 L5,30,20
A,Sun / Mon,13,3,174,35.5272111,-92.0356087,35.52715,-92.03555,35.5271922,-92.0356924,35.5271078,-92.0354076,7,L,5,7 L5,30,20
A,Sun / Mon,5,4,358,35.5266275,-92.035705,35.52655,-92.0357,35.5266578,-92.0357927,35.5264422,-92.0356073,8,L,5,8 L5,32,21
A,Sun / Mon,14,4,358,35.5266275,-92.035705,35.52655,-92.0357,35.5266578,-92.0357927,35.5264422,-92.0356073,8,L,5,8 L5,32,21
A,Sun / Mon,6,5,473,35.5280755,-92.0372241,35.52815,-92.03715,35.5280034,-92.0371753,35.5282966,-92.0371247,8,L,6,8 L6,36,22
A,Sun / Mon,15,5,473,35.5280755,-92.0372241,35.52815,-92.03715,35.5280034,-92.0371753,35.5282966,-92.0371247,8,L,6,8 L6,36,22
